Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;11/12/2017;Maritimo;Sp Braga;1;0;H;0;0;D;5;7;2;2;31;22;2;4;2;3;0;0
P1;15/12/2017;Pacos Ferreira;Boavista;1;2;A;1;0;H;11;5;6;4;23;9;4;4;3;1;0;0
P1;16/12/2017;Estoril;Aves;3;2;H;1;1;D;17;6;11;4;17;14;5;3;3;1;0;0
P1;16/12/2017;Sp Braga;Belenenses;4;0;H;1;0;H;12;3;6;2;18;17;1;3;0;0;0;0
P1;17/12/2017;Chaves;Rio Ave;1;1;D;0;1;A;10;9;7;5;25;18;9;4;3;4;0;1
P1;17/12/2017;Feirense;Setubal;1;0;H;1;0;H;3;4;1;2;29;18;4;2;4;2;0;0
P1;17/12/2017;Sp Lisbon;Portimonense;2;0;H;1;0;H;11;6;6;1;10;11;3;2;1;3;0;1
P1;17/12/2017;Tondela;Benfica;1;5;A;0;3;A;2;8;1;7;7;10;2;6;2;2;0;0
P1;18/12/2017;Moreirense;Guimaraes;2;1;H;2;0;H;8;10;5;4;20;16;5;8;3;3;0;1
P1;18/12/2017;Porto;Maritimo;3;1;H;2;1;H;15;4;5;2;13;11;9;1;1;3;0;1
P1;23/12/2017;Guimaraes;Tondela;0;1;A;0;0;D;14;8;6;3;13;24;9;4;3;2;0;0
P1;03/01/2018;Aves;Moreirense;1;2;A;0;2;A;17;8;7;3;20;16;6;5;3;3;0;0
P1;03/01/2018;Benfica;Sp Lisbon;1;1;D;0;1;A;14;5;3;3;14;16;10;5;1;3;0;0
P1;03/01/2018;Boavista;Sp Braga;1;3;A;0;1;A;6;5;5;4;19;15;6;2;5;6;1;1
P1;03/01/2018;Feirense;Porto;1;2;A;1;1;D;2;10;2;5;19;18;2;10;4;5;0;1
P1;03/01/2018;Maritimo;Chaves;1;2;A;0;1;A;13;10;7;5;14;14;6;3;4;2;0;0
